iter	Passed	Remaining
0	1	118
1	2	112
2	3	106
3	4	96
4	5	100
5	6	96
6	6	91
7	7	87
8	8	83
9	8	80
10	9	78
11	10	76
12	11	76
13	12	76
14	13	75
15	14	74
16	15	74
17	15	72
18	16	70
19	17	69
20	18	68
21	19	67
22	20	67
23	21	67
24	22	66
25	23	65
26	24	65
27	24	63
28	25	62
29	26	61
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	55
36	32	54
37	32	53
38	33	52
39	34	52
40	35	51
41	36	49
42	36	48
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	43	43
50	43	42
51	44	40
52	45	39
53	45	38
54	46	37
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
