iter	Passed	Remaining
0	163	163710
1	165	82418
2	166	55251
3	167	41782
4	168	33610
5	170	28297
6	171	24398
7	173	21452
8	174	19197
9	175	17368
10	179	16147
11	181	14929
12	182	13850
13	183	12928
14	184	12139
15	185	11429
16	186	10800
17	187	10242
18	189	9776
19	190	9329
20	196	9146
21	199	8856
22	200	8507
23	201	8187
24	202	7891
25	203	7616
26	204	7362
27	205	7129
28	206	6917
29	207	6722
30	209	6542
31	210	6375
32	212	6213
33	213	6075
34	214	5926
35	216	5787
36	217	5655
37	218	5534
38	219	5416
39	227	5466
40	231	5408
41	233	5332
42	234	5228
43	240	5231
44	241	5135
45	243	5045
46	244	4953
47	245	4868
48	246	4787
49	247	4708
50	248	4632
51	250	4559
52	252	4518
53	254	4457
54	255	4396
55	257	4340
56	258	4278
57	259	4218
58	261	4162
59	262	4105
60	263	4050
61	264	3998
62	265	3948
63	266	3901
64	268	3857
65	269	3812
66	270	3770
67	271	3726
68	273	3684
69	274	3642
70	275	3601
71	276	3561
72	277	3528
73	279	3503
74	284	3502
75	287	3500
76	289	3464
77	290	3430
78	291	3395
79	292	3363
80	293	3334
81	294	3302
82	295	3265
83	296	3238
84	298	3212
85	300	3189
86	301	3168
87	303	3140
88	304	3112
89	305	3085
90	306	3059
91	307	3033
92	308	3008
93	309	2986
94	311	2963
95	312	2940
96	313	2919
97	314	2897
98	315	2875
99	317	2854
100	318	2831
101	319	2810
102	320	2789
103	321	2768
104	322	2748
105	323	2729
106	324	2709
107	327	2705
108	329	2689
109	330	2673
110	331	2658
111	333	2641
112	334	2624
113	335	2608
114	336	2592
115	337	2575
116	338	2556
117	339	2539
118	340	2523
119	342	2512
120	343	2497
121	344	2482
122	346	2469
123	347	2454
124	348	2438
125	350	2431
126	351	2416
127	352	2401
128	353	2387
129	354	2373
130	355	2359
131	357	2347
132	358	2334
133	359	2322
134	360	2310
135	361	2297
136	362	2285
137	363	2272
138	364	2260
139	365	2247
140	366	2235
141	367	2221
142	368	2210
143	370	2200
144	371	2188
145	372	2179
146	373	2169
147	374	2158
148	375	2146
149	376	2136
150	378	2125
151	379	2115
152	380	2104
153	381	2095
154	382	2085
155	383	2076
156	384	2067
157	386	2057
158	388	2052
159	389	2043
160	390	2033
161	391	2025
162	392	2015
163	393	2006
164	394	1997
165	395	1987
166	396	1978
167	397	1969
168	398	1960
169	399	1951
170	400	1943
171	401	1935
172	403	1926
173	404	1919
174	405	1911
175	406	1903
176	407	1894
177	408	1886
178	409	1880
179	411	1872
180	412	1864
181	413	1857
182	414	1849
183	415	1841
184	416	1834
185	417	1829
186	419	1822
187	420	1815
188	421	1809
189	422	1801
190	423	1794
191	424	1787
192	425	1780
193	427	1775
194	428	1768
195	429	1761
196	430	1755
197	432	1750
198	433	1743
199	434	1737
200	435	1731
201	436	1724
202	437	1717
203	438	1711
204	439	1704
205	440	1697
206	441	1692
207	443	1688
208	444	1682
209	445	1675
210	446	1670
211	448	1665
212	449	1661
213	452	1662
214	453	1656
215	454	1651
216	457	1651
217	458	1645
218	459	1639
219	464	1645
220	465	1641
221	467	1638
222	474	1653
223	475	1648
224	476	1641
225	477	1635
226	478	1631
227	480	1625
228	481	1620
229	482	1615
230	483	1609
231	484	1604
232	485	1598
233	486	1593
234	487	1587
235	488	1581
236	489	1576
237	490	1570
238	491	1565
239	492	1559
240	493	1554
241	494	1550
242	496	1546
243	498	1543
244	499	1540
245	502	1541
246	504	1538
247	507	1537
248	508	1532
249	511	1534
250	513	1531
251	514	1527
252	515	1522
253	516	1517
254	517	1512
255	518	1507
256	519	1502
257	520	1498
258	522	1494
259	523	1489
260	525	1486
261	526	1482
262	527	1478
263	530	1477
264	531	1473
265	532	1468
266	533	1463
267	534	1459
268	535	1454
269	536	1450
270	537	1445
271	538	1441
272	540	1438
273	542	1436
274	543	1433
275	544	1429
276	545	1424
277	546	1420
278	547	1416
279	549	1412
280	550	1407
281	551	1403
282	552	1399
283	553	1395
284	554	1391
285	557	1391
286	558	1387
287	559	1383
288	560	1378
289	561	1374
290	562	1370
291	563	1366
